action,protocol,source,srcport,destination,dstport,log,disabled,name*,srcseczone,dstseczone
Permit,ip,10.207.93.62,any,193.16.243.160,any,Yes,Yes,grt106,GRT,
Permit,tcp,10.207.94.250,any,10.200.101.90,591,Yes,Yes,grt107,GRT,
Permit,tcp,10.132.96.29,any,DM_INLINE_NETWORK_253,DM_INLINE_TCP_72,Yes,Yes,grt108,GRT,
Permit,tcp,10.207.11.159,any,10.207.17.16,DM_INLINE_TCP_73,Yes,Yes,grt109,GRT,
Permit,tcp,DM_INLINE_NETWORK_268,any,10.129.0.0,www,Yes,Yes,grt110,GRT,
Permit,tcp,10.207.11.0,any,10.129.0.0,www,Yes,Yes,grt111,GRT,
Permit,tcp,10.144.16.128,any,10.206.10.117,DM_INLINE_TCP_75,Yes,Yes,grt112,GRT,
Permit,ip,DM_INLINE_NETWORK_299,any,DM_INLINE_NETWORK_300,any,Yes,Yes,grt113,GRT,
Permit,tcp,DM_INLINE_NETWORK_238,any,10.207.22.9,3978,Yes,Yes,grt114,GRT,
Permit,tcp,10.144.16.234,any,DM_INLINE_NETWORK_257,DM_INLINE_TCP_79,No,Yes,grt115,GRT,
Permit,DM_INLINE_SERVICE_23,DM_INLINE_NETWORK_309,any,10.206.10.227,any,Yes,Yes,grt116,GRT,
Permit,tcp,DM_INLINE_NETWORK_329,any,10.206.10.227,DM_INLINE_TCP_80,Yes,Yes,grt117,GRT,
Permit,udp,DM_INLINE_NETWORK_320,any,10.206.10.227,DM_INLINE_UDP_9,Yes,Yes,grt118,GRT,
Permit,tcp,DM_INLINE_NETWORK_274,any,10.206.10.76,8080,No,Yes,grt119,GRT,
Permit,ip,10.207.11.220,any,10.207.254.0,any,Yes,Yes,grt120,GRT,
Permit,ip,10.207.11.169,any,10.129.0.0,any,Yes,Yes,grt121,GRT,
Permit,tcp,10.144.16.231,any,10.206.10.185,sqlnet,No,Yes,grt122,GRT,
Permit,ip,10130100241,any,10.206.9.42,any,Yes,Yes,grt123,GRT,
Permit,tcp,g_PCs_DesarrolloIngenico_PLZF,any,172.16.101.146,4450,Yes,Yes,grt124,GRT,
Permit,tcp,g_Peaje_aA,any,172.16.101.148,4450,Yes,Yes,grt125,GRT,
Permit,udp,10.231.1.3,any,10.206.10.227,udp_2010_splunk,No,Yes,grt126,GRT,
Permit,tcp,DM_INLINE_NETWORK_333,any,DM_INLINE_NETWORK_334,ldaps,Yes,Yes,grt127,GRT,
Permit,tcp,10.0.0.0,any,10.207.22.100,DM_INLINE_TCP_87,Yes,Yes,grt128,GRT,
